file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_16.pcap,172.19.0.33:49638->172.19.0.8:443,20,80,172.19.0.33,49638,172.19.0.8,443,20,6,14,19462,2336,17126,973.1,131,1399,503.1556319867641,253165.59,0.5170646716542637,389.3333333333333,131,1399,461.0222939897327,212541.55555555553,1.1841326044256835,1223.2857142857142,326,1294,248.86325234422807,61932.91836734694,0.20343837047875704,0.0021707886143734582,0.0,0.017026185989379883,0.0049469943698886775,2.4472753295710273e-05,0.008045005798339843,0.0,0.017654895782470703,0.007824126468550388,6.121695499587077e-05,0.0019851464491624097,3.504753112792969e-05,0.0229949951171875,0.006075173678421056,3.690773522298003e-05,14,6,0.7,0.3,0,0.0,1.0,14,1,5,0,0,0.05,0.25,0.0,0.7,0.0,0.8812908992306927,1.7166422780956525,0.0412449836730957
normal_traffic_recording_16.pcap,172.19.0.40:35285->172.19.0.8:443,20,3369,172.19.0.40,35285,172.19.0.8,443,20,4,16,21764,2054,19710,1088.2,131,1399,424.99677645836323,180622.25999999998,0.3905502448615725,513.5,131,1399,520.9896831991973,271430.25,1.0145855563762363,1231.875,326,1294,233.89684558582658,54707.734375,0.18987060017114285,0.0020842677668521277,0.0,0.02099299430847168,0.005686794488392538,3.233963155321174e-05,0.012294371922810873,0.0,0.03688311576843262,0.017386867514098122,0.0003023031619528006,0.0015851974487304688,1.5974044799804688e-05,0.023422956466674805,0.005836394764942019,3.406350385224261e-05,15,5,0.75,0.25,0,0.0,1.0,15,1,4,0,0,0.05,0.2,0.0,0.75,0.0,0.7219280948873623,1.3917601481809734,0.03960108757019043
normal_traffic_recording_16.pcap,172.19.0.32:37806->172.19.0.8:443,20,2518,172.19.0.32,37806,172.19.0.8,443,20,7,13,16655,2588,14067,832.75,68,1399,536.3525776017116,287674.0875,0.6440739448834724,369.7142857142857,131,1399,429.6815147078504,184626.20408163266,1.1621988419454996,1082.076923076923,68,1294,406.87863651471184,165550.224852071,0.37601636985080356,0.009748057315224096,2.4080276489257812e-05,0.1296679973602295,0.029139399382575436,0.0008491045963772377,0.03079799811045329,2.9802322387695312e-05,0.1296679973602295,0.045588764947433136,0.002078335489432308,0.013177752494812012,2.9087066650390625e-05,0.14883995056152344,0.04097466058490657,0.0016789228100482962,15,5,0.75,0.25,0,0.0,1.0,15,1,4,0,0,0.05,0.2,0.0,0.75,0.0,0.934068055375491,2.4232196723355077,0.1852130889892578
normal_traffic_recording_16.pcap,172.19.0.34:54402->172.19.0.8:443,20,2552,172.19.0.34,54402,172.19.0.8,443,20,7,13,16609,2543,14066,830.45,68,1399,538.5130894416587,289996.3475,0.6484593767736272,363.2857142857143,131,1399,430.2765603275955,185137.91836734692,1.1844026434499286,1082.0,68,1294,407.020883985085,165666.0,0.37617456930229665,0.006875577725862202,0.0,0.08429098129272461,0.019145909143195666,0.0003665658369195034,0.0216901699701945,0.0,0.08429098129272461,0.029450218990807037,0.0008673153986064915,0.009394089380900065,2.193450927734375e-05,0.10493993759155273,0.028876399386049696,0.0008338464415026513,15,5,0.75,0.25,0,0.0,1.0,15,1,4,0,0,0.05,0.2,0.0,0.75,0.0,0.934068055375491,2.4232196723355077,0.13063597679138184
normal_traffic_recording_16.pcap,172.19.0.18:55271->172.19.0.8:443,20,74,172.19.0.8,443,172.19.0.18,55271,20,18,2,22667,22383,284,1133.35,142,1294,381.95422173344275,145889.02749999994,0.3370134748607604,1243.5,411,1294,201.91259109932804,40768.694444444445,0.16237441986274873,142.0,142,142,0.0,0.0,0.0,0.0016086728949295847,9.5367431640625e-07,0.028105974197387695,0.006260752796171937,3.919702557477473e-05,0.001797928529627183,2.002716064453125e-05,0.03009486198425293,0.007074236510278753,5.00448222033609e-05,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,18,2,0.9,0.1,0,0.0,1.0,18,0,2,0,0,0.0,0.1,0.0,0.9,0.0,0.4689955935892812,0.747584679824574,0.03056478500366211
normal_traffic_recording_16.pcap,172.19.0.31:57441->172.19.0.8:443,20,111,172.19.0.8,443,172.19.0.31,57441,20,17,3,21504,21089,415,1075.2,131,1294,437.5528082414739,191452.46000000002,0.40695015647458505,1240.5294117647059,411,1294,207.38373571915045,43008.01384083044,0.167173574243708,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0011747887260035465,0.0,0.009668111801147461,0.0026466934927358255,7.004986444490163e-06,0.0013950616121292114,3.600120544433594e-05,0.019688129425048828,0.004725077922403184,2.232636137278199e-05,0.0048340559005737305,0.0,0.009668111801147461,0.0048340559005737305,2.33680964498717e-05,18,2,0.9,0.1,0,0.0,1.0,18,0,2,0,0,0.0,0.1,0.0,0.9,0.0,0.6098403047164004,1.0219280948873624,0.022320985794067383
normal_traffic_recording_16.pcap,172.19.0.36:40844->172.19.0.8:443,20,39500,172.19.0.36,40844,172.19.0.8,443,20,6,14,18224,2322,15902,911.2,68,1399,535.0745368637905,286304.7599999999,0.5872196409830888,387.0,131,1399,462.0205623129776,213463.0,1.1938515822040765,1135.857142857143,68,1294,386.3761781223167,149286.55102040817,0.3401626521011466,0.010934001521060341,9.5367431640625e-07,0.09828495979309082,0.02657831017661163,0.0007064065718441773,0.0414125919342041,9.5367431640625e-07,0.17324495315551758,0.06626146062543596,0.004390581164216201,0.010223150253295898,3.3855438232421875e-05,0.10542798042297363,0.028402077187503608,0.0008066779885649129,15,5,0.75,0.25,0,0.0,1.0,15,1,4,0,0,0.05,0.2,0.0,0.75,0.0,0.8812908992306927,1.9332062193464952,0.20774602890014648
normal_traffic_recording_16.pcap,172.19.0.30:39786->172.19.0.8:443,20,117,172.19.0.8,443,172.19.0.30,39786,20,17,3,21504,21089,415,1075.2,131,1294,437.5528082414739,191452.46000000002,0.40695015647458505,1240.5294117647059,411,1294,207.38373571915045,43008.01384083044,0.167173574243708,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.001094215794613487,0.0,0.013922929763793945,0.0032135748550035197,1.0327063348710891e-05,0.0012993812561035156,2.5987625122070312e-05,0.020202159881591797,0.004880688308888065,2.3821118368516636e-05,0.006961464881896973,0.0,0.013922929763793945,0.006961464881896973,4.846199330188483e-05,18,2,0.9,0.1,0,0.0,1.0,18,0,2,0,0,0.0,0.1,0.0,0.9,0.0,0.6098403047164004,1.0219280948873624,0.02079010009765625
normal_traffic_recording_16.pcap,172.19.0.21:34780->172.19.0.8:443,20,67151,172.19.0.21,34780,172.19.0.8,443,20,6,14,18225,2322,15903,911.25,68,1399,535.0198944899151,286246.2875,0.5871274562303596,387.0,131,1399,462.0205623129776,213463.0,1.1938515822040765,1135.9285714285713,68,1294,386.22651834045234,149170.92346938778,0.34000951120960404,0.01451026765923751,1.811981201171875e-05,0.11656713485717773,0.03241300031112605,0.0010506025891690574,0.055013418197631836,0.001222848892211914,0.20537710189819336,0.07686921149636548,0.005908875676072967,0.01224061158987192,1.811981201171875e-05,0.09256601333618164,0.029096324562890564,0.0008465961030690688,15,5,0.75,0.25,0,0.0,1.0,15,1,4,0,0,0.05,0.2,0.0,0.75,0.0,0.8812908992306927,1.9332062193464952,0.2756950855255127
normal_traffic_recording_16.pcap,172.19.0.23:58034->172.19.0.8:443,20,2586,172.19.0.23,58034,172.19.0.8,443,20,16,4,7825,4838,2987,391.25,68,1399,400.49692570605333,160397.7875,1.0236343149036506,302.375,131,1399,289.77790525676727,83971.234375,0.9583394965085317,746.75,68,1294,555.093404302375,308128.6875,0.7433457037862404,0.007479479438380191,2.288818359375e-05,0.07831788063049316,0.01871164466230642,0.0003501256459684204,0.00947400728861491,0.00028014183044433594,0.07831788063049316,0.021024895852953817,0.0004420462456275546,0.002238035202026367,2.288818359375e-05,0.006651163101196289,0.003120560532969976,9.73789803992986e-06,15,5,0.75,0.25,0,0.0,1.0,15,1,4,0,0,0.05,0.2,0.0,0.75,0.0,0.7219280948873623,3.203701696057348,0.14211010932922363
