file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,handshake_packets,onertt_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_scan_5.pcap,172.16.0.35:44309->172.19.0.8:443,10,56,172.16.0.35,44309,172.19.0.8,443,10,6,4,7245,2988,4257,724.5,86,1294,574.5661406661552,330126.25,0.7930519539905524,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1064.25,377,1294,396.78481258737713,157438.1875,0.3728304558020927,0.0016453266143798828,0.0,0.008455991744995117,0.0026202353508953573,6.8656332940817165e-06,0.0028915882110595705,0.0,0.011789083480834961,0.004505554695689668,2.0300023115851222e-05,0.002117315928141276,3.1948089599609375e-05,0.0034961700439453125,0.0014999065898815454,2.2497197783700863e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.014807939529418945
traffic_record_scan_5.pcap,172.16.0.43:46595->172.19.0.8:443,10,59,172.16.0.43,46595,172.19.0.8,443,10,6,4,6065,2999,3066,606.5,86,1294,567.2430255190451,321764.65,0.9352729192399755,499.8333333333333,86,1294,561.7022985730273,315509.47222222225,1.1237791902094578,766.5,96,1294,537.104040200779,288480.75,0.7007228182658565,0.005122237735324436,1.0013580322265625e-05,0.02908611297607422,0.008929272886529727,7.973191428211493e-05,0.009216833114624023,1.0013580322265625e-05,0.03437209129333496,0.013357318685483757,0.0001784179624655735,0.01260066032409668,3.3855438232421875e-05,0.029168128967285156,0.012225804851236893,0.00014947030426052757,2,8,0.2,0.8,0,0.0,1.0,6,2,2,0,0,0.2,0.6,0.0,0.2,0.0,0.9709505944546686,2.0464393446710156,0.04610013961791992
traffic_record_scan_5.pcap,172.16.0.53:35624->172.19.0.8:443,10,53,172.16.0.53,35624,172.19.0.8,443,10,6,4,7243,2988,4255,724.3,86,1294,574.687401984766,330265.61,0.7934383570133453,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1063.75,375,1294,397.6508361615753,158126.1875,0.37381982247856665,0.002371443642510308,0.0,0.010247945785522461,0.0032842016510387017,1.0785980484685336e-05,0.0042685985565185545,0.0,0.01351785659790039,0.005335431600012434,2.846683035841124e-05,0.003688653310139974,3.409385681152344e-05,0.008598804473876953,0.0036074875741022574,1.301396659730219e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.021342992782592773
traffic_record_scan_5.pcap,172.16.0.33:50890->172.19.0.8:443,10,54,172.16.0.33,50890,172.19.0.8,443,10,6,4,7243,2988,4255,724.3,86,1294,574.687401984766,330265.61,0.7934383570133453,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1063.75,375,1294,397.6508361615753,158126.1875,0.37381982247856665,0.001731448703342014,7.152557373046875e-06,0.009038925170898438,0.00278634862203829,7.763738643534676e-06,0.003116607666015625,7.152557373046875e-06,0.012415885925292969,0.004729483425230649,2.2368013469531432e-05,0.0021736621856689453,2.7179718017578125e-05,0.004013776779174805,0.0016418759570966757,2.6957566584921247e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.015583038330078125
traffic_record_scan_5.pcap,172.16.0.31:52168->172.19.0.8:443,10,54,172.16.0.31,52168,172.19.0.8,443,10,6,4,7250,2988,4262,725.0,86,1294,574.2656179852664,329781.0,0.7920905075658847,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1065.5,382,1294,394.6197536870145,155724.75,0.3703611015363815,0.001883109410603841,9.5367431640625e-07,0.011075973510742188,0.0034052473130033456,1.1595709262716504e-05,0.003389596939086914,9.5367431640625e-07,0.014297008514404297,0.0054973443875631495,3.022079531547206e-05,0.001947959264119466,2.5033950805664062e-05,0.003409862518310547,0.0014197821692305726,2.01578140806507e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.01694798469543457
traffic_record_scan_5.pcap,172.16.0.37:56731->172.19.0.8:443,10,54,172.16.0.37,56731,172.19.0.8,443,10,6,4,7257,2998,4259,725.7,86,1294,573.3438845928332,328723.21,0.7900563381463872,499.6666666666667,86,1294,561.8213436869609,315643.2222222222,1.1243922822287409,1064.75,379,1294,395.918789021183,156751.6875,0.37184201833405306,0.008587095472547743,1.0013580322265625e-05,0.031004905700683594,0.010446328528607489,0.00010912577972759871,0.014440584182739257,1.0013580322265625e-05,0.03453397750854492,0.01327056533936354,0.00017610790442631696,0.015426317850748697,1.811981201171875e-05,0.037596940994262695,0.016069427397705404,0.00025822649689012504,3,7,0.3,0.7,0,0.0,1.0,5,3,2,0,0,0.2,0.5,0.0,0.3,0.0,0.9709505944546686,1.9609640474436814,0.07728385925292969
traffic_record_scan_5.pcap,172.16.0.34:56626->172.19.0.8:443,10,50,172.16.0.34,56626,172.19.0.8,443,10,5,5,8443,2900,5543,844.3,86,1294,554.8758509792979,307887.21,0.6572022397006964,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1108.6,371,1294,368.8010845971037,136014.24000000002,0.3326728167031424,0.007787545522054036,0.0,0.045207977294921875,0.013928122896326058,0.00019399260741516218,0.016346991062164307,0.0,0.04884982109069824,0.01993384270119502,0.0003973580848359859,0.006219983100891113,1.5020370483398438e-05,0.018083810806274414,0.007376664398209967,5.4415177643818424e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.07008790969848633
traffic_record_scan_5.pcap,172.16.0.36:52559->172.19.0.8:443,10,52,172.16.0.36,52559,172.19.0.8,443,10,6,4,7256,2998,4258,725.6,86,1294,573.4044297003643,328792.64,0.7902486627623543,499.6666666666667,86,1294,561.8213436869609,315643.2222222222,1.1243922822287409,1064.5,378,1294,396.35180080327626,157094.75,0.3723361209988504,0.007813215255737305,0.0,0.0555119514465332,0.016970025915349074,0.0002879817795676192,0.012839221954345703,0.0,0.05610299110412598,0.021714239302663058,0.00047150818849331697,0.004935661951700847,4.696846008300781e-05,0.00844883918762207,0.003565285557318298,1.2711261105222447e-05,3,7,0.3,0.7,0,0.0,1.0,5,3,2,0,0,0.2,0.5,0.0,0.3,0.0,0.9709505944546686,1.9609640474436814,0.07031893730163574
traffic_record_scan_5.pcap,172.16.0.49:58246->172.19.0.8:443,10,54,172.16.0.49,58246,172.19.0.8,443,10,6,4,7240,2988,4252,724.0,86,1294,574.8704201818006,330476.0,0.7940199173781776,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1063.0,372,1294,398.949871537766,159161.0,0.3753056176272493,0.0034414397345648873,0.0,0.02493000030517578,0.007673931043663186,5.888921766289756e-05,0.006187009811401367,0.0,0.028414011001586914,0.011133949835937724,0.00012396483894917766,0.002014319101969401,3.504753112792969e-05,0.0036509037017822266,0.0014959232894323782,2.2377864878661867e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.030972957611083984
traffic_record_scan_5.pcap,172.16.0.30:41739->172.19.0.8:443,10,53,172.16.0.30,41739,172.19.0.8,443,10,6,4,7246,2988,4258,724.6,86,1294,574.5057353934772,330056.83999999997,0.7928591435184614,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1064.5,378,1294,396.35180080327626,157094.75,0.3723361209988504,0.003990438249376085,0.0,0.0174558162689209,0.006145469634621025,3.7766797030049074e-05,0.007177019119262695,0.0,0.019327878952026367,0.00858439067967147,7.369176334123039e-05,0.007680654525756836,2.09808349609375e-05,0.020437955856323242,0.009081210378983896,8.246838194736483e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.035913944244384766
