file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
SCAN4_HTTP3.pcap,172.16.0.25:57694->172.19.0.8:443,172.16.0.25,57694,172.19.0.8,443,64,25,39,50808,4634,46174,793.875,67,1294,586.5365637579639,344025.140625,0.7388273516082052,185.36,86,1294,327.03356158045915,106950.95039999996,1.7643157184962188,1183.948717948718,67,1294,326.30133538297895,106472.56147271532,0.27560428119582836,0.0003274130442785838,0.0,0.010361909866333008,0.0013266429333023964,1.7599814724811865e-06,0.0008594592412312826,0.0,0.010722875595092773,0.002140787786195767,4.582972345524972e-06,0.0002672107596146433,5.91278076171875e-05,0.005040884017944336,0.0007900098377851857,6.241155437973754e-07,57,7,0.890625,0.109375,0,0.0,1.0,57,2,5,0,0,0.03125,0.078125,0.0,0.890625,0.0,0.9652016987500656,1.6064322433434626,0.02062702178955078
SCAN4_HTTP3.pcap,172.16.0.35:47980->172.19.0.8:443,172.16.0.35,47980,172.19.0.8,443,65,25,40,52110,4636,47474,801.6923076923077,67,1294,585.1486575899239,342398.95147929,0.7298918200603541,185.44,86,1294,327.01242545200023,106937.12640000001,1.7634406031708383,1186.85,67,1294,322.27601136293094,103861.82749999998,0.27153895720851917,0.0003173910081386566,0.0,0.00888514518737793,0.0012115654880784173,1.4678909319026934e-06,0.0008463760217030843,0.0,0.009596109390258789,0.002019333109168124,4.077706205782603e-06,0.0002895868741548978,8.487701416015625e-05,0.005465984344482422,0.0008510858430666801,7.243471122685216e-07,57,8,0.8769230769230769,0.12307692307692308,0,0.0,1.0,57,2,6,0,0,0.03076923076923077,0.09230769230769231,0.0,0.8769230769230769,0.0,0.9612366047228759,1.5937553913576314,0.020313024520874023
SCAN4_HTTP3.pcap,172.16.0.25:40787->172.19.0.8:443,172.16.0.25,40787,172.19.0.8,443,64,25,39,50810,4635,46175,793.90625,67,1294,586.5064396159155,343989.8037109375,0.7387603254363038,185.4,86,1294,327.02146718525984,106943.04,1.763869833793203,1183.974358974359,67,1294,326.2374066479562,106430.84549638396,0.275544317472015,0.0007004472944471571,9.5367431640625e-07,0.025300025939941406,0.0033165630762066888,1.0999590638457575e-05,0.0018386741479237874,9.5367431640625e-07,0.02553415298461914,0.00526170192175675,2.7685507113418674e-05,0.0002695823970593904,8.606910705566406e-05,0.005052089691162109,0.0007925513138499422,6.281375850852696e-07,57,7,0.890625,0.109375,0,0.0,1.0,57,2,5,0,0,0.03125,0.078125,0.0,0.890625,0.0,0.9652016987500656,1.6064322433434626,0.0441281795501709
SCAN4_HTTP3.pcap,172.16.0.35:52746->172.19.0.8:443,172.16.0.35,52746,172.19.0.8,443,63,24,39,50711,4536,46175,804.936507936508,67,1294,584.5200411520896,341663.67850844044,0.726169126867576,189.0,86,1294,333.2806625053425,111076.0,1.763389748705516,1183.974358974359,67,1294,326.2374066479562,106430.84549638396,0.275544317472015,0.0003073100120790543,0.0,0.008795022964477539,0.0011937078077303,1.424938330236279e-06,0.0008284009021261464,0.0,0.009249210357666016,0.001975037175179534,3.900771843341153e-06,0.00026652687474300985,9.012222290039062e-05,0.004956960678100586,0.0007776180604724368,6.046898479729145e-07,57,6,0.9047619047619048,0.09523809523809523,0,0.0,1.0,57,2,4,0,0,0.031746031746031744,0.06349206349206349,0.0,0.9047619047619048,0.0,0.9587118829771318,1.545719027848831,0.019053220748901367
SCAN4_HTTP3.pcap,172.16.0.25:44040->172.19.0.8:443,172.16.0.25,44040,172.19.0.8,443,64,25,39,50812,4634,46178,793.9375,67,1294,586.4916046660429,343972.40234375,0.7387125619662038,185.36,86,1294,327.03356158045915,106950.95039999996,1.7643157184962188,1184.051282051282,67,1294,326.0460049903253,106305.99737015122,0.27536476665560844,0.0003039836883544922,0.0,0.008769989013671875,0.001134922452598921,1.2880489734131501e-06,0.000797957181930542,0.0,0.009202003479003906,0.001843058145209005,3.3968633266212578e-06,0.00026999649248625105,9.202957153320312e-05,0.005040884017944336,0.0007892882084011807,6.229758759211457e-07,57,7,0.890625,0.109375,0,0.0,1.0,57,2,5,0,0,0.03125,0.078125,0.0,0.890625,0.0,0.9652016987500656,1.6064322433434626,0.019150972366333008
SCAN4_HTTP3.pcap,172.16.0.35:39564->172.19.0.8:443,172.16.0.35,39564,172.19.0.8,443,65,25,40,52113,4636,47477,801.7384615384616,67,1294,585.1151964665545,342359.7931360947,0.7298080665155727,185.44,86,1294,327.01242545200023,106937.12640000001,1.7634406031708383,1186.925,67,1294,322.0875958105186,103740.419375,0.27136305647831044,0.00044595450162887573,0.0,0.011623859405517578,0.001774693951851302,3.149538622737591e-06,0.0011892120043436687,0.0,0.011751890182495117,0.0028444296622637372,8.0907801035658e-06,0.0005025374583708934,0.00012302398681640625,0.012768983840942383,0.001992342285774833,3.969427783686486e-06,57,8,0.8769230769230769,0.12307692307692308,0,0.0,1.0,57,2,6,0,0,0.03076923076923077,0.09230769230769231,0.0,0.8769230769230769,0.0,0.9612366047228759,1.5937553913576314,0.028541088104248047
SCAN4_HTTP3.pcap,172.16.0.25:51827->172.19.0.8:443,172.16.0.25,51827,172.19.0.8,443,63,24,39,50712,4536,46176,804.952380952381,67,1294,584.5082705722367,341649.9183673471,0.7261401846910182,189.0,86,1294,333.2806625053425,111076.0,1.763389748705516,1184.0,67,1294,326.1735419790813,106389.17948717948,0.27548441045530514,0.00046238591594080774,0.0,0.015080928802490234,0.0019398535669301355,3.7630318611315697e-06,0.0012464315994926121,0.0,0.015574932098388672,0.0031643514185420124,1.0013119900028845e-05,0.0003537127846165707,9.799003601074219e-05,0.00546717643737793,0.0008479665412428802,7.190472550674131e-07,57,6,0.9047619047619048,0.09523809523809523,0,0.0,1.0,57,2,4,0,0,0.031746031746031744,0.06349206349206349,0.0,0.9047619047619048,0.0,0.9587118829771318,1.545719027848831,0.028667926788330078
SCAN4_HTTP3.pcap,172.16.0.35:50865->172.19.0.8:443,172.16.0.35,50865,172.19.0.8,443,65,25,40,52108,4636,47472,801.6615384615385,67,1294,585.1710933741601,342425.20852071006,0.7299478212428112,185.44,86,1294,327.01242545200023,106937.12640000001,1.7634406031708383,1186.8,67,1294,322.4019385797796,103943.00999999998,0.27165650369041083,0.00033770501613616943,0.0,0.008855104446411133,0.0012501889422359758,1.562972391289108e-06,0.0009005467096964518,0.0,0.009300947189331055,0.002174861092234883,4.730020770517108e-06,0.0003241759080153245,8.988380432128906e-05,0.006072998046875,0.0009555838662411016,9.131405254202915e-07,57,8,0.8769230769230769,0.12307692307692308,0,0.0,1.0,57,2,6,0,0,0.03076923076923077,0.09230769230769231,0.0,0.8769230769230769,0.0,0.9612366047228759,1.5937553913576314,0.021613121032714844
SCAN4_HTTP3.pcap,172.16.0.25:40158->172.19.0.8:443,172.16.0.25,40158,172.19.0.8,443,64,25,39,50818,4634,46184,794.03125,67,1294,586.4249464112501,343894.2177734375,0.7385413941973318,185.36,86,1294,327.03356158045915,106950.95039999996,1.7643157184962188,1184.2051282051282,67,1294,325.6649355244003,106057.65023011179,0.2750071991480082,0.0002960174802749876,1.1920928955078125e-05,0.00857996940612793,0.0011117344170205549,1.2359534139880332e-06,0.0007770458857218424,1.71661376953125e-05,0.00899195671081543,0.0018083086260923102,3.269980087199858e-06,0.00026139460111919205,8.106231689453125e-05,0.004958152770996094,0.0007772881056045835,6.04176799114362e-07,57,7,0.890625,0.109375,0,0.0,1.0,57,2,5,0,0,0.03125,0.078125,0.0,0.890625,0.0,0.9652016987500656,1.6064322433434626,0.01864910125732422
SCAN4_HTTP3.pcap,172.16.0.35:41686->172.19.0.8:443,172.16.0.35,41686,172.19.0.8,443,63,24,39,50711,4537,46174,804.936507936508,67,1294,584.5123288994207,341654.6626354246,0.7261595456737888,189.04166666666666,86,1294,333.2678451294427,111067.4565972222,1.762933278180874,1183.948717948718,67,1294,326.30133538297895,106472.56147271532,0.27560428119582836,0.0007263383557719569,0.0,0.025397062301635742,0.0033965052610269064,1.1536247988183453e-05,0.0019579555677331014,0.0,0.02563786506652832,0.0054579320325293165,2.9789022071709595e-05,0.00027449507462350945,8.893013000488281e-05,0.00515294075012207,0.0008090713466590857,6.545964439847465e-07,57,6,0.9047619047619048,0.09523809523809523,0,0.0,1.0,57,2,4,0,0,0.031746031746031744,0.06349206349206349,0.0,0.9047619047619048,0.0,0.9587118829771318,1.545719027848831,0.04503297805786133
SCAN4_HTTP3.pcap,172.16.0.25:56098->172.19.0.8:443,172.16.0.25,56098,172.19.0.8,443,57,18,39,50200,4021,46179,880.7017543859649,67,1294,563.3779686950469,317394.7356109572,0.6396921158489576,223.38888888888889,86,1294,378.6436523066229,143371.01543209876,1.6949976974680956,1184.076923076923,67,1294,325.98233274569867,106264.4812623274,0.2753050299288042,0.0007473741258893694,0.0,0.0255739688873291,0.003584041554226427,1.2845353862421781e-05,0.0024619382970473345,0.0,0.025602102279663086,0.00645425477816367,4.1657404741448565e-05,0.00018805579135292456,2.09808349609375e-05,0.0033559799194335938,0.0006401819636717776,4.0983294661065305e-07,51,6,0.8947368421052632,0.10526315789473684,0,0.0,1.0,51,2,4,0,0,0.03508771929824561,0.07017543859649122,0.0,0.8947368421052632,0.0,0.8997437586982626,1.5161752170230296,0.04185295104980469
SCAN4_HTTP3.pcap,172.16.0.35:59083->172.19.0.8:443,172.16.0.35,59083,172.19.0.8,443,90,29,61,76714,6624,70090,852.3777777777777,67,1394,570.2614522748468,325198.1239506173,0.6690243072286182,228.41379310344828,86,1394,373.6899431384978,139644.17360285373,1.6360217921220466,1149.016393442623,67,1294,374.6011427167537,140326.01612469766,0.3260189714042228,0.0015165966548276752,0.0,0.0254061222076416,0.00553321304624222,3.06164466151051e-05,0.003921721662793841,0.0,0.025434017181396484,0.008219285075244848,6.75566471481427e-05,0.0021013657251993815,2.002716064453125e-05,0.05054593086242676,0.0088446007685587,7.822696275518916e-05,76,14,0.8444444444444444,0.15555555555555556,0,0.0,1.0,76,2,12,0,0,0.022222222222222223,0.13333333333333333,0.0,0.8444444444444444,0.0,0.9067816913292784,1.845002651359947,0.13497710227966309
SCAN4_HTTP3.pcap,172.16.0.25:44046->172.19.0.8:443,172.16.0.25,44046,172.19.0.8,443,60,21,39,50454,4279,46175,840.9,67,1294,575.8350950286607,331586.0566666667,0.6847842728370326,203.76190476190476,86,1294,353.8371840754827,125200.75283446704,1.7365227542849115,1183.974358974359,67,1294,326.2374066479562,106430.84549638396,0.275544317472015,0.0007022558632543531,0.0,0.025417089462280273,0.0034572369178067367,1.1952487105845826e-05,0.0020716547966003417,0.0,0.02546405792236328,0.005939791535595183,3.5281123486328174e-05,0.0001932633550543534,2.5987625122070312e-05,0.003258943557739258,0.0006411753244844516,4.1110579672774173e-07,54,6,0.9,0.1,0,0.0,1.0,54,2,4,0,0,0.03333333333333333,0.06666666666666667,0.0,0.9,0.0,0.934068055375491,1.5362798817830696,0.041433095932006836
SCAN4_HTTP3.pcap,172.16.0.35:34903->172.19.0.8:443,172.16.0.35,34903,172.19.0.8,443,131,32,99,124369,5729,118640,949.3816793893129,67,1294,530.5925314905173,281528.4344735156,0.5588822104001622,179.03125,86,1294,288.149861657849,83030.3427734375,1.6094947762351488,1198.3838383838383,67,1294,303.0980675073349,91868.43852668094,0.2529223590966466,0.0007156848907470704,7.152557373046875e-06,0.025490999221801758,0.0035423343176396865,1.2548132417927823e-05,0.0030012592192619077,2.002716064453125e-05,0.025532960891723633,0.0068340404686408115,4.6704109127020326e-05,0.0005854903435220524,1.5974044799804688e-05,0.04051804542541504,0.0041514589171193165,1.723461114052949e-05,117,14,0.8931297709923665,0.10687022900763359,0,0.0,1.0,117,2,12,0,0,0.015267175572519083,0.0916030534351145,0.0,0.8931297709923665,0.0,0.8020771588818674,1.7220233613642784,0.09303903579711914
SCAN4_HTTP3.pcap,172.16.0.25:51068->172.19.0.8:443,172.16.0.25,51068,172.19.0.8,443,56,17,39,50108,3934,46174,894.7857142857143,67,1294,558.3059745556103,311705.5612244898,0.6239549488128477,231.41176470588235,86,1294,388.1314299569351,150646.0069204152,1.6772329205053118,1183.948717948718,67,1294,326.30133538297895,106472.56147271532,0.27560428119582836,0.00028916272250088777,0.0,0.008722782135009766,0.001233820032125894,1.522311871675142e-06,0.0009939968585968018,0.0,0.011617898941040039,0.002788703467307871,7.77686702857494e-06,0.00018647469972309314,2.09808349609375e-05,0.003165006637573242,0.0006361208003917238,4.046496726910074e-07,50,6,0.8928571428571429,0.10714285714285714,0,0.0,1.0,50,2,4,0,0,0.03571428571428571,0.07142857142857142,0.0,0.8928571428571429,0.0,0.885612871398971,1.5063640137700087,0.015903949737548828
SCAN4_HTTP3.pcap,172.16.0.35:35227->172.19.0.8:443,172.16.0.35,35227,172.19.0.8,443,105,29,76,94369,6737,87632,898.7523809523809,67,1394,550.9537839221549,303550.0720181406,0.6130206668696953,232.31034482758622,86,1394,372.46069947258223,138726.9726516052,1.603289340166971,1153.0526315789473,67,1294,363.72806118455424,132298.1024930748,0.31544792598623933,0.0011174220305222732,0.0,0.02583599090576172,0.004603375593191839,2.1191066851994315e-05,0.004150424684797015,0.0,0.03204917907714844,0.008849723608030083,7.8317607938525e-05,0.00143766721089681,1.5020370483398438e-05,0.041487932205200195,0.006269391470590169,3.9305269411508765e-05,91,14,0.8666666666666667,0.13333333333333333,0,0.0,1.0,91,2,12,0,0,0.01904761904761905,0.11428571428571428,0.0,0.8666666666666667,0.0,0.8502079949955313,1.9761850583646199,0.1162118911743164
SCAN4_HTTP3.pcap,172.16.0.25:46880->172.19.0.8:443,172.16.0.25,46880,172.19.0.8,443,52,13,39,49770,3590,46180,957.1153846153846,67,1294,530.433300883712,281359.48668639053,0.5541999527014874,276.15384615384613,86,1294,434.1552090694411,188490.74556213012,1.5721497821456087,1184.1025641025642,67,1294,325.91872471772854,106223.01512163051,0.27524535002146844,0.0003163721047195734,0.0,0.008986949920654297,0.0013229791329720613,1.7502737862795069e-06,0.0013445814450581868,0.0,0.012210845947265625,0.0033152499949524444,1.0990882529032182e-05,0.00018537044525146484,1.5020370483398438e-05,0.0034248828887939453,0.000658940495692964,4.3420257686408916e-07,46,6,0.8846153846153846,0.11538461538461539,0,0.0,1.0,46,2,4,0,0,0.038461538461538464,0.07692307692307693,0.0,0.8846153846153846,0.0,0.8112781244591328,1.4450724192708626,0.016134977340698242
SCAN4_HTTP3.pcap,172.16.0.35:57987->172.19.0.8:443,172.16.0.35,57987,172.19.0.8,443,94,29,65,81928,6675,75253,871.5744680851063,67,1394,564.360822587399,318503.13807152555,0.6475187643200799,230.17241379310346,86,1394,373.116425295387,139215.8668252081,1.6210301623320182,1157.7384615384615,67,1294,364.7695701260466,133056.8392899408,0.3150707886488649,0.0009965281332692793,0.0,0.02564096450805664,0.004509393559436558,2.033463027388791e-05,0.0033071807452610563,0.0,0.025699138641357422,0.007801897671712679,6.0869607279875715e-05,0.001310393214225769,1.5974044799804688e-05,0.02571702003479004,0.005319660943639297,2.8298792555281338e-05,81,13,0.8617021276595744,0.13829787234042554,0,0.0,1.0,81,2,11,0,0,0.02127659574468085,0.11702127659574468,0.0,0.8617021276595744,0.0,0.8914467590654125,1.9513804174458398,0.09267711639404297
SCAN4_HTTP3.pcap,172.16.0.25:55512->172.19.0.8:443,172.16.0.25,55512,172.19.0.8,443,56,17,39,50110,3934,46176,894.8214285714286,67,1294,558.272466349249,311668.14668367343,0.6238925985942516,231.41176470588235,86,1294,388.1314299569351,150646.0069204152,1.6772329205053118,1184.0,67,1294,326.1735419790813,106389.17948717948,0.27548441045530514,0.0002743807705965909,0.0,0.00878286361694336,0.001255280259333008,1.5757285294711441e-06,0.0009431838989257812,0.0,0.009196043014526367,0.002311675838319757,5.343845181471352e-06,0.0001634735810129266,1.5020370483398438e-05,0.004295825958251953,0.0006858540271615655,4.7039574657373735e-07,50,6,0.8928571428571429,0.10714285714285714,0,0.0,1.0,50,2,4,0,0,0.03571428571428571,0.07142857142857142,0.0,0.8928571428571429,0.0,0.885612871398971,1.5063640137700087,0.0150909423828125
SCAN4_HTTP3.pcap,172.16.0.35:40773->172.19.0.8:443,172.16.0.35,40773,172.19.0.8,443,101,26,75,92985,4777,88208,920.6435643564356,67,1294,549.0321923176789,301436.3482011567,0.5963569546065018,183.73076923076923,86,1294,320.6136613160537,102793.1198224852,1.7450188809330953,1176.1066666666666,67,1294,341.73660708537244,116783.90862222224,0.2905659977712105,0.0010929107666015625,0.0,0.03526592254638672,0.005062501033764718,2.5628916716868844e-05,0.00437164306640625,0.0,0.06118202209472656,0.012801835168006861,0.00016388698366881727,0.0009788532514829894,8.487701416015625e-05,0.03526592254638672,0.004993580516595558,2.4935846375722757e-05,89,12,0.8811881188118812,0.1188118811881188,0,0.0,1.0,89,2,10,0,0,0.019801980198019802,0.09900990099009901,0.0,0.8811881188118812,0.0,0.8228368841492257,1.5041190248337546,0.10929107666015625
