file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,handshake_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_15.pcap,172.19.0.38:34382->172.19.0.8:443,172.19.0.38,34382,172.19.0.8,443,39350,1096,38254,49271852,145449,49126403,1252.1436340533671,66,1399,201.29938851503456,40521.44381652683,0.16076381577998347,132.7089416058394,131,1399,39.56748545774858,1565.5859054491455,0.2981523699832412,1284.2161081194124,66,1294,68.59933477054177,4705.868730960861,0.05341728260284607,0.0033875257590998023,0.0,15.004734992980957,0.21179020098129045,0.0448550892316954,0.12173127953864668,0.0,15.027123928070068,1.2653155425719278,1.601023422274092,0.0032843562122095962,9.059906005859375e-06,15.038599967956543,0.21163503587305044,0.04478938840898734,39339,11,0.999720457433291,0.0002795425667090216,0,0.0,1.0,39339,10,1,0,0,2.5412960609911054e-05,0.00025412960609911054,0.0,0.999720457433291,0.0,0.18350572799768522,0.42492906857432633,133.29575109481812
normal_traffic_recording_15.pcap,172.19.0.31:47743->172.19.0.8:443,172.19.0.31,47743,172.19.0.8,443,2648,152,2496,3210624,24332,3186292,1212.4712990936555,66,1399,285.85922040271663,81715.49388924892,0.2357657625515768,160.07894736842104,131,1399,113.2524268541988,12826.112188365649,0.7074785830115987,1276.559294871795,66,1294,119.82359032436285,14357.692798220743,0.09386449247263266,0.008753212344029466,0.0,21.93315887451172,0.4262550537297583,0.18169337083015913,0.15344207334202647,0.0,21.93315887451172,1.7784535634926162,3.1628970774995846,0.009265098208654858,1.3113021850585938e-05,21.947314023971558,0.4393372882650596,0.19301725286009605,2643,5,0.9981117824773413,0.0018882175226586104,0,0.0,1.0,2643,4,1,0,0,0.00037764350453172205,0.0015105740181268882,0.0,0.9981117824773413,0.0,0.3170435547212672,0.7566335269544926,23.169753074645996
normal_traffic_recording_15.pcap,172.19.0.20:59525->172.19.0.8:443,172.19.0.20,59525,172.19.0.8,443,37,6,31,37405,1119,36286,1010.9459459459459,66,1294,480.86374683906587,231229.94302410522,0.4756572285268129,186.5,131,442,114.36892060345765,13080.25,0.6132381801793976,1170.516129032258,66,1294,341.2225525738527,116432.83038501565,0.29151460976104926,0.0021280248959859214,9.5367431640625e-07,0.03960895538330078,0.007285430089910597,5.307749159497473e-05,0.015321779251098632,9.5367431640625e-07,0.04524993896484375,0.0165775810401067,0.00027481619314130513,0.0017259359359741212,3.409385681152344e-05,0.04152393341064453,0.007522050770776234,5.6581247798135336e-05,34,3,0.918918918918919,0.08108108108108109,0,0.0,1.0,34,2,0,1,0,0.0,0.05405405405405406,0.02702702702702703,0.918918918918919,0.0,0.6394571324851641,1.5030520126403792,0.07660889625549316
normal_traffic_recording_15.pcap,172.19.0.19:56008->172.19.0.8:443,172.19.0.19,56008,172.19.0.8,443,78,11,67,81462,1948,79514,1044.3846153846155,66,1294,471.3571847980569,222177.59566074953,0.45132528558405677,177.0909090909091,131,424,95.14912176105898,9053.355371900827,0.5372897019361647,1186.7761194029852,66,1294,336.74552245338566,113397.54689240367,0.283748145035803,0.05708452014179973,0.0,4.302477121353149,0.48699581555144505,0.2371649243646171,0.4395508050918579,0.0,4.302477121353149,1.2876730264503835,1.65810182304789,0.06644781791802609,2.5987625122070312e-05,4.325093030929565,0.5282337112765706,0.27903085372901937,75,3,0.9615384615384616,0.038461538461538464,0,0.0,1.0,75,2,0,1,0,0.0,0.02564102564102564,0.01282051282051282,0.9615384615384616,0.0,0.5869185834047994,1.4618483807714941,4.395508050918579
normal_traffic_recording_15.pcap,172.19.0.41:60972->172.19.0.8:443,172.19.0.41,60972,172.19.0.8,443,37,6,31,37407,1121,36286,1011.0,66,1294,480.6096353815866,230985.62162162163,0.4753804504268908,186.83333333333334,131,444,115.11359124312335,13251.138888888885,0.6161298371621232,1170.516129032258,66,1294,340.90249017038656,116214.50780437049,0.2912411727741273,0.0015149182743496364,0.0,0.020581960678100586,0.004594001626485797,2.1104850944154143e-05,0.010907411575317383,0.0,0.02732706069946289,0.012248143458381579,0.00015001701817709545,0.001014399528503418,2.5987625122070312e-05,0.020425081253051758,0.0038313670327763394,1.4679373339845371e-05,34,3,0.918918918918919,0.08108108108108109,0,0.0,1.0,34,2,0,1,0,0.0,0.05405405405405406,0.02702702702702703,0.918918918918919,0.0,0.6394571324851641,1.5030520126403792,0.054537057876586914
normal_traffic_recording_15.pcap,172.19.0.18:57232->172.19.0.8:443,172.19.0.18,57232,172.19.0.8,443,2617,107,2510,3217949,18849,3199100,1229.6327856324035,66,1399,253.90409469600536,64467.28930339806,0.20648773980552396,176.15887850467288,131,1399,180.55641671631014,32600.619617433837,1.0249634775661938,1274.5418326693227,66,1294,128.44616449832424,16498.417174330567,0.1007783041764227,0.004112385281729042,0.0,9.839137077331543,0.19238025229461284,0.03701016147293889,0.1014563947353723,0.0,9.843508005142212,0.9509699706697582,0.9043438851156407,0.004280787913055238,1.3113021850585938e-05,9.839970111846924,0.1964693779782101,0.03860021648314479,2612,5,0.9980894153611005,0.0019105846388995033,0,0.0,1.0,2612,4,1,0,0,0.00038211692777990065,0.0015284677111196026,0.0,0.9980894153611005,0.0,0.2463421501528724,0.6591873064267377,10.757999897003174
normal_traffic_recording_15.pcap,172.19.0.23:54791->172.19.0.8:443,172.19.0.8,443,172.19.0.23,54791,37,31,6,37098,36290,808,1002.6486486486486,66,1294,491.0679600799596,241147.7414170928,0.4897707294991241,1170.6451612903227,66,1294,337.3062692135745,113775.51925078043,0.2881370720755252,134.66666666666666,131,142,5.185449728701348,26.888888888888886,0.03850581481708922,0.0011204746034410265,0.0,0.018609046936035156,0.0034887766177998927,1.2171562288907258e-05,0.0007242679595947266,2.6941299438476562e-05,0.013772010803222656,0.002504241373731179,6.271224857907024e-06,0.007571601867675781,0.0,0.023037195205688477,0.008654528383260522,7.490086153666198e-05,35,2,0.9459459459459459,0.05405405405405406,0,0.0,1.0,35,2,0,0,0,0.0,0.05405405405405406,0.0,0.9459459459459459,0.0,0.6394571324851641,1.469400323509662,0.04033708572387695
normal_traffic_recording_15.pcap,172.19.0.20:60778->172.19.0.8:443,172.19.0.20,60778,172.19.0.8,443,78,11,67,81463,1948,79515,1044.3974358974358,66,1294,471.3634435240616,222183.49589086123,0.45132573800224407,177.0909090909091,131,424,95.14912176105898,9053.355371900827,0.5372897019361647,1186.7910447761194,66,1294,336.7494102339873,113400.16529293828,0.2837478524262988,0.024749988085263734,0.0,1.819507122039795,0.2059180875734949,0.04240225878992551,0.1903223991394043,0.0,1.819507122039795,0.5431617742944898,0.2950247130547382,0.028807531703602184,1.5020370483398438e-05,1.8403599262237549,0.22473999619622698,0.05050806589028012,75,3,0.9615384615384616,0.038461538461538464,0,0.0,1.0,75,2,0,1,0,0.0,0.02564102564102564,0.01282051282051282,0.9615384615384616,0.0,0.5869185834047994,1.4618483807714941,1.9057490825653076
normal_traffic_recording_15.pcap,172.19.0.30:50789->172.19.0.8:443,172.19.0.30,50789,172.19.0.8,443,2550,101,2449,3132056,18062,3113994,1228.2572549019608,66,1399,256.7979912883264,65945.20832971935,0.20907508607292855,178.83168316831683,131,1399,185.56769036943936,34435.36770904812,1.0376667438441687,1271.5369538587179,66,1294,141.25424128197102,19952.760680145282,0.1110893716877897,0.008149199693424649,0.0,19.69258999824524,0.39000769219859877,0.15210599997407695,0.20768999099731444,0.0,19.69486713409424,1.9587408345283708,3.836665656848899,0.00847983740124048,1.2874603271484375e-05,19.692970037460327,0.3979849674654666,0.15839203432848847,2545,5,0.9980392156862745,0.00196078431372549,0,0.0,1.0,2545,4,1,0,0,0.000392156862745098,0.001568627450980392,0.0,0.9980392156862745,0.0,0.240491266577156,0.6346441924043105,20.77231001853943
normal_traffic_recording_15.pcap,172.19.0.35:50211->172.19.0.8:443,172.19.0.35,50211,172.19.0.8,443,2592,82,2510,3212119,16178,3195941,1239.2434413580247,66,1399,232.79823016463567,54195.01596778669,0.1878551238564747,197.29268292682926,131,1399,187.1653428287848,35030.86555621654,0.9486684455408798,1273.2832669322709,66,1294,134.88722690808294,18194.56398295265,0.10593654248914113,0.007214587059595188,0.0,16.16668701171875,0.3177294479689895,0.10095200210667879,0.23073744479520822,0.0,16.16668701171875,1.782654496670448,3.1778570544993685,0.007443277424386223,1.2874603271484375e-05,16.1695499420166,0.3229619323139795,0.1043044097239795,2586,6,0.9976851851851852,0.0023148148148148147,0,0.0,1.0,2586,5,1,0,0,0.00038580246913580245,0.0019290123456790122,0.0,0.9976851851851852,0.0,0.20253013291456295,0.5301776211907092,18.692995071411133
