file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,handshake_packets,onertt_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_scan_5.pcap,172.16.0.31:50619->172.19.0.8:443,172.16.0.31,50619,172.19.0.8,443,51,12,39,49688,3504,46184,974.2745098039215,67,1294,521.163896482967,271611.80699730874,0.5349251070808105,292.0,86,1294,448.25662292932157,200934.0,1.5351254209908274,1184.2051282051282,67,1294,325.6649355244003,106057.65023011179,0.2750071991480082,0.0003399991989135742,9.5367431640625e-07,0.00941610336303711,0.0013928653092445578,1.9400737696969373e-06,0.00154545090415261,9.5367431640625e-07,0.012547969818115234,0.0035296351007161352,1.2458323944207401e-05,0.00019652592508416427,1.5020370483398438e-05,0.003323078155517578,0.0006755697192117318,4.5639444551581813e-07,45,6,0.8823529411764706,0.11764705882352941,0,0.0,1.0,4,45,2,0,0,0.0392156862745098,0.0784313725490196,0.0,0.8823529411764706,0.0,0.7871265862012691,1.4224297629857867,0.01699995994567871
traffic_record_scan_5.pcap,172.16.0.37:50860->172.19.0.8:443,172.16.0.37,50860,172.19.0.8,443,55,16,39,50024,3848,46176,909.5272727272727,67,1294,552.4709734718429,305224.17652892566,0.607426506096101,240.5,86,1294,398.318026205192,158657.25,1.6562080091691975,1184.0,67,1294,326.1735419790813,106389.17948717948,0.27548441045530514,0.0005244281556871203,9.5367431640625e-07,0.008542060852050781,0.001675781804009698,2.8082446546499975e-06,0.001887941360473633,9.5367431640625e-07,0.012843132019042969,0.0036983279398852555,1.3677629550935918e-05,0.0005163707231220446,2.6941299438476562e-05,0.00919198989868164,0.0019813284178565333,3.925662299405874e-06,49,6,0.8909090909090909,0.10909090909090909,0,0.0,1.0,4,49,2,0,0,0.03636363636363636,0.07272727272727272,0.0,0.8909090909090909,0.0,0.8698926856041562,1.494644721944205,0.028319120407104492
traffic_record_scan_5.pcap,172.16.0.34:33454->172.19.0.8:443,172.16.0.34,33454,172.19.0.8,443,55,16,39,50023,3849,46174,909.5090909090909,67,1294,552.4793331462445,305233.41355371894,0.6074478404542599,240.5625,86,1294,398.2938564599635,158637.99609375,1.6556772417145793,1183.948717948718,67,1294,326.30133538297895,106472.56147271532,0.27560428119582836,0.0009927573027434173,0.0,0.025538921356201172,0.0038317254875194053,1.4682120211705825e-05,0.003573926289876302,0.0,0.027699947357177734,0.0076195308635792925,5.80572505810374e-05,0.000453898781224301,2.002716064453125e-05,0.010860919952392578,0.0018018523910027081,3.246672038962176e-06,49,6,0.8909090909090909,0.10909090909090909,0,0.0,1.0,4,49,2,0,0,0.03636363636363636,0.07272727272727272,0.0,0.8909090909090909,0.0,0.8698926856041562,1.494644721944205,0.05360889434814453
traffic_record_scan_5.pcap,172.16.0.36:48940->172.19.0.8:443,172.16.0.36,48940,172.19.0.8,443,53,14,39,49852,3676,46176,940.6037735849056,67,1294,538.6872702042435,290183.9750800997,0.5727037093963112,262.57142857142856,86,1294,421.2189309077907,177425.38775510216,1.6042070273963738,1184.0,67,1294,326.1735419790813,106389.17948717948,0.27548441045530514,0.00040867236944345327,0.0,0.012144804000854492,0.0017457550035557658,3.047660532439992e-06,0.001634689477773813,0.0,0.01599287986755371,0.004182083655146228,1.748982369864123e-05,0.00023639829535233346,1.71661376953125e-05,0.0040130615234375,0.0007948830746442297,6.318391023558642e-07,47,6,0.8867924528301887,0.11320754716981132,0,0.0,1.0,4,47,2,0,0,0.03773584905660377,0.07547169811320754,0.0,0.8867924528301887,0.0,0.83294582353614,1.4643533700887699,0.02125096321105957
traffic_record_scan_5.pcap,172.16.0.49:45036->172.19.0.8:443,172.16.0.49,45036,172.19.0.8,443,52,13,39,49766,3590,46176,957.0384615384615,67,1294,530.5178515643016,281449.1908284024,0.5543328433336753,276.15384615384613,86,1294,434.1552090694411,188490.74556213012,1.5721497821456087,1184.0,67,1294,326.1735419790813,106389.17948717948,0.27548441045530514,0.00033417402529249007,9.5367431640625e-07,0.009042024612426758,0.001348185145448797,1.8176031864087939e-06,0.0014202396074930828,9.5367431640625e-07,0.012608051300048828,0.0034208398489197476,1.1702145271957282e-05,0.00020631363517359684,1.7881393432617188e-05,0.003832101821899414,0.0007305162674815673,5.336540170552009e-07,46,6,0.8846153846153846,0.11538461538461539,0,0.0,1.0,4,46,2,0,0,0.038461538461538464,0.07692307692307693,0.0,0.8846153846153846,0.0,0.8112781244591328,1.4450724192708626,0.017042875289916992
traffic_record_scan_5.pcap,172.16.0.30:51035->172.19.0.8:443,172.16.0.30,51035,172.19.0.8,443,45,8,37,48913,3173,45740,1086.9555555555555,86,1294,445.2282288921819,198228.17580246914,0.40961033467888264,396.625,86,1294,518.252095388914,268585.234375,1.3066551412263825,1236.2162162162163,112,1294,240.2038700697676,57697.89919649379,0.19430571037563185,0.050668093291195954,0.0,2.1754448413848877,0.32405815422306017,0.10501368731845666,0.31848515783037457,0.0,2.189703941345215,0.7639773194946506,0.5836613447022315,0.06078300211164686,1.4066696166992188e-05,2.185343027114868,0.35911633263557147,0.1289645403656224,39,6,0.8666666666666667,0.13333333333333333,0,0.0,1.0,4,39,2,0,0,0.044444444444444446,0.08888888888888889,0.0,0.8666666666666667,0.0,0.6751914401458716,1.0584161623200168,2.229396104812622
traffic_record_scan_5.pcap,172.16.0.54:36118->172.19.0.8:443,172.16.0.54,36118,172.19.0.8,443,50,11,39,49600,3418,46182,992.0,67,1294,510.87849827527486,260996.84,0.5149984861645917,310.72727272727275,86,1294,463.6725119597963,214992.19834710742,1.4922169782205263,1184.1538461538462,67,1294,325.79170146217257,106140.23274161736,0.27512616077746155,0.0008607153989830796,0.0,0.034670114517211914,0.004910613317753877,2.4114123156501744e-05,0.00421750545501709,0.0,0.038160085678100586,0.011328051634249551,0.00012832475382822394,0.00019499502683940686,1.4066696166992188e-05,0.00368499755859375,0.0006963153843035202,4.84855114417759e-07,44,6,0.88,0.12,0,0.0,1.0,4,44,2,0,0,0.04,0.08,0.0,0.88,0.0,0.7601675029619657,1.3958310101212372,0.0421750545501709
traffic_record_scan_5.pcap,172.16.0.56:38567->172.19.0.8:443,172.16.0.56,38567,172.19.0.8,443,54,15,39,49941,3762,46179,924.8333333333334,67,1294,545.9152271050747,298023.4351851852,0.5902849815517116,250.8,86,1294,409.3127899296576,167536.96000000002,1.6320286679810907,1184.076923076923,67,1294,325.98233274569867,106264.4812623274,0.2753050299288042,0.0004308448647553066,0.0,0.01556396484375,0.00215604256099616,4.64851952482688e-06,0.0016310555594308035,0.0,0.018840789794921875,0.0047971599812908165,2.3012743886098105e-05,0.00018781109860068872,2.002716064453125e-05,0.0034568309783935547,0.0006572479366059357,4.3197485017276014e-07,48,6,0.8888888888888888,0.1111111111111111,0,0.0,1.0,4,48,2,0,0,0.037037037037037035,0.07407407407407407,0.0,0.8888888888888888,0.0,0.8524051786494786,1.480748199695294,0.02283477783203125
traffic_record_scan_5.pcap,172.16.0.39:54848->172.19.0.8:443,172.16.0.39,54848,172.19.0.8,443,54,15,39,49944,3762,46182,924.8888888888889,67,1294,545.8594197894175,297962.50617283955,0.5901891852600621,250.8,86,1294,409.3127899296576,167536.96000000002,1.6320286679810907,1184.1538461538462,67,1294,325.79170146217257,106140.23274161736,0.27512616077746155,0.0005856954826498932,1.1920928955078125e-06,0.023012876510620117,0.0031578637336047155,9.972103360015913e-06,0.002217275755746024,1.1920928955078125e-06,0.026688814163208008,0.006805602084261775,4.631621972930821e-05,0.00020789472680342826,1.3828277587890625e-05,0.0038869380950927734,0.0007186067982153355,5.163957304412959e-07,48,6,0.8888888888888888,0.1111111111111111,0,0.0,1.0,4,48,2,0,0,0.037037037037037035,0.07407407407407407,0.0,0.8888888888888888,0.0,0.8524051786494786,1.480748199695294,0.031041860580444336
traffic_record_scan_5.pcap,172.16.0.35:46612->172.19.0.8:443,172.16.0.35,46612,172.19.0.8,443,52,13,39,49863,3683,46180,958.9038461538462,67,1294,527.5621093444603,278321.7792159763,0.5501720651768232,283.3076923076923,86,1294,431.3287849310073,186044.52071005915,1.5224746685047772,1184.1025641025642,67,1294,325.91872471772854,106223.01512163051,0.27524535002146844,0.0023604140562169694,0.0,0.04249906539916992,0.007534039198986625,5.6761746651867024e-05,0.01003175973892212,0.0,0.04249906539916992,0.01363502098369641,0.00018591379722584142,0.002134417232714201,1.9073486328125e-05,0.04990887641906738,0.008829038751359387,7.795192527300572e-05,44,8,0.8461538461538461,0.15384615384615385,0,0.0,1.0,6,44,2,0,0,0.038461538461538464,0.11538461538461539,0.0,0.8461538461538461,0.0,0.8112781244591328,1.5773385838588931,0.12038111686706543
traffic_record_scan_5.pcap,172.16.0.43:39458->172.19.0.8:443,172.16.0.43,39458,172.19.0.8,443,52,13,39,49785,3602,46183,957.4038461538462,67,1294,529.9936233148827,280893.2407544378,0.553573735309308,277.0769230769231,86,1294,433.7625123956234,188149.9171597633,1.5654949087015835,1184.179487179487,67,1294,325.72828630977244,106098.9165023011,0.2750666514968955,0.0015706268011354933,0.0,0.02568197250366211,0.005419964684775438,2.9376017184212916e-05,0.006675163904825847,0.0,0.027598857879638672,0.010713967778130806,0.00011478910555082516,0.001487211177223607,1.5020370483398438e-05,0.05130600929260254,0.008211996618545398,6.743688846300104e-05,45,7,0.8653846153846154,0.1346153846153846,0,0.0,1.0,5,45,2,0,0,0.038461538461538464,0.09615384615384616,0.0,0.8653846153846154,0.0,0.8112781244591328,1.493713284905109,0.08010196685791016
traffic_record_scan_5.pcap,172.16.0.53:34233->172.19.0.8:443,172.16.0.53,34233,172.19.0.8,443,50,11,39,49592,3418,46174,991.84,67,1294,511.0719855362842,261194.57439999992,0.5152766429426966,310.72727272727275,86,1294,463.6725119597963,214992.19834710742,1.4922169782205263,1183.948717948718,67,1294,326.30133538297895,106472.56147271532,0.27560428119582836,0.001629284449986049,0.0,0.046807050704956055,0.007098910496807519,5.0394530241683974e-05,0.00798349380493164,0.0,0.05029606819152832,0.015418403722082726,0.00023772717333713444,0.0008656790381983706,1.5020370483398438e-05,0.02272200584411621,0.0036954846290569894,1.3656606643596476e-05,44,6,0.88,0.12,0,0.0,1.0,4,44,2,0,0,0.04,0.08,0.0,0.88,0.0,0.7601675029619657,1.3958310101212372,0.0798349380493164
traffic_record_scan_5.pcap,172.16.0.33:47769->172.19.0.8:443,172.16.0.33,47769,172.19.0.8,443,50,11,39,49601,3418,46183,992.02,67,1294,510.8544798668207,260972.29959999997,0.5149638917227685,310.72727272727275,86,1294,463.6725119597963,214992.19834710742,1.4922169782205263,1184.179487179487,67,1294,325.72828630977244,106098.9165023011,0.2750666514968955,0.001435649638273278,0.0,0.0551609992980957,0.007820303074286432,6.115714017369383e-05,0.007034683227539062,0.0,0.059059858322143555,0.017449844701215907,0.0003044970800965529,0.00039770728663394327,1.3828277587890625e-05,0.007189035415649414,0.0015508955919295902,2.4052771370666344e-06,44,6,0.88,0.12,0,0.0,1.0,4,44,2,0,0,0.04,0.08,0.0,0.88,0.0,0.7601675029619657,1.3958310101212372,0.07034683227539062
traffic_record_scan_5.pcap,172.16.0.31:53933->172.19.0.8:443,172.16.0.31,53933,172.19.0.8,443,53,14,39,49868,3688,46180,940.9056603773585,67,1294,538.250950245012,289714.0854396583,0.5720562357220188,263.42857142857144,86,1294,420.8708173513094,177132.24489795926,1.5976657925483546,1184.1025641025642,67,1294,325.91872471772854,106223.01512163051,0.27524535002146844,0.0006439777520986703,1.1920928955078125e-06,0.01822185516357422,0.002752157392227422,7.574370311592042e-06,0.0025759110083946814,1.1920928955078125e-06,0.01822185516357422,0.005451114174331894,2.9714645741602087e-05,0.00017576468618292558,2.002716064453125e-05,0.005193948745727539,0.0008266199198194623,6.833004918423342e-07,46,7,0.8679245283018868,0.1320754716981132,0,0.0,1.0,5,46,2,0,0,0.03773584905660377,0.09433962264150944,0.0,0.8679245283018868,0.0,0.83294582353614,1.5151072556716532,0.03348684310913086
