file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,handshake_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_15.pcap,172.19.0.34:40248->172.19.0.8:443,5,2594,172.19.0.34,40248,172.19.0.8,443,5,2,3,4455,1541,2914,891.0,142,1399,540.9450988778806,292621.6,0.6071213230952645,770.5,142,1399,628.5,395012.25,0.8157040882543802,971.3333333333334,326,1294,456.3195761257187,208227.5555555556,0.4697867976585985,0.007565498352050781,1.2874603271484375e-05,0.018992185592651367,0.008023926182973684,6.438339138981064e-05,0.030261993408203125,0.030261993408203125,0.030261993408203125,0.0,0.0,2.7418136596679688e-05,1.2874603271484375e-05,4.1961669921875e-05,1.4543533325195312e-05,2.1151436158106662e-10,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.030261993408203125
normal_traffic_recording_15.pcap,172.19.0.41:50190->172.19.0.8:443,5,40,172.19.0.41,50190,172.19.0.8,443,5,1,4,4381,437,3944,876.2,68,1292,522.4467054159686,272950.55999999994,0.5962642152658851,437.0,437,437,0.0,0.0,0.0,986.0,68,1292,530.0075471160765,280908.0,0.5375330092455136,0.0006964802742004395,0.00029778480529785156,0.0010612010955810547,0.0003198959184545032,1.0233339864385016e-07,0.0,0.0,0.0,0.0,0.0,0.0006102720896402994,0.00029778480529785156,0.0010612010955810547,0.00032667587481250115,1.0671712718451293e-07,4,1,0.8,0.2,0,0.0,1.0,4,0,0,1,0,0.0,0.0,0.2,0.8,0.0,0.7219280948873623,1.3709505944546687,0.002785921096801758
normal_traffic_recording_15.pcap,172.19.0.20:40669->172.19.0.8:443,5,37,172.19.0.20,40669,172.19.0.8,443,5,1,4,4381,437,3944,876.2,68,1292,522.4467054159686,272950.55999999994,0.5962642152658851,437.0,437,437,0.0,0.0,0.0,986.0,68,1292,530.0075471160765,280908.0,0.5375330092455136,0.002253711223602295,3.600120544433594e-05,0.004647970199584961,0.002214490303687382,4.903967305125434e-06,0.0,0.0,0.0,0.0,0.0,0.0014556248982747395,3.600120544433594e-05,0.004280805587768555,0.0019977126777395234,3.990855942801217e-06,4,1,0.8,0.2,0,0.0,1.0,4,0,0,1,0,0.0,0.0,0.2,0.8,0.0,0.7219280948873623,1.3709505944546687,0.00901484489440918
normal_traffic_recording_15.pcap,172.19.0.32:47030->172.19.0.8:443,5,77,172.19.0.32,47030,172.19.0.8,443,5,1,4,4368,424,3944,873.6,68,1292,524.6536381270981,275261.44,0.6005650619586745,424.0,424,424,0.0,0.0,0.0,986.0,68,1292,530.0075471160765,280908.0,0.5375330092455136,0.0005605220794677734,3.409385681152344e-05,0.0019850730895996094,0.0008246184363894384,6.799955656333623e-07,0.0,0.0,0.0,0.0,0.0,8.567174275716145e-05,3.409385681152344e-05,0.00018286705017089844,6.877052479871071e-05,4.729385081090085e-09,4,1,0.8,0.2,0,0.0,1.0,4,0,0,1,0,0.0,0.0,0.2,0.8,0.0,0.7219280948873623,1.3709505944546687,0.0022420883178710938
normal_traffic_recording_15.pcap,172.19.0.19:34984->172.19.0.8:443,5,77,172.19.0.19,34984,172.19.0.8,443,5,1,4,4369,425,3944,873.8,68,1292,524.4823733930435,275081.75999999995,0.6002316015026821,425.0,425,425,0.0,0.0,0.0,986.0,68,1292,530.0075471160765,280908.0,0.5375330092455136,0.0007034540176391602,3.1948089599609375e-05,0.002557992935180664,0.00107246192619181,1.1501745831310473e-06,0.0,0.0,0.0,0.0,0.0,8.527437845865886e-05,3.1948089599609375e-05,0.0001850128173828125,7.058219075699776e-05,4.9818456520572205e-09,4,1,0.8,0.2,0,0.0,1.0,4,0,0,1,0,0.0,0.0,0.2,0.8,0.0,0.7219280948873623,1.3709505944546687,0.0028138160705566406
normal_traffic_recording_15.pcap,172.19.0.24:39305->172.19.0.8:443,5,33571,172.19.0.24,39305,172.19.0.8,443,5,2,3,4455,1541,2914,891.0,142,1399,540.9450988778806,292621.6,0.6071213230952645,770.5,142,1399,628.5,395012.25,0.8157040882543802,971.3333333333334,326,1294,456.3195761257187,208227.5555555556,0.4697867976585985,0.028457999229431152,3.886222839355469e-05,0.05865907669067383,0.028413624520525257,0.0008073340583933941,0.11383199691772461,0.11383199691772461,0.11383199691772461,0.0,0.0,7.343292236328125e-05,3.886222839355469e-05,0.00010800361633300781,3.457069396972656e-05,1.1951328815484885e-09,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.11383199691772461
normal_traffic_recording_15.pcap,172.19.0.20:52782->172.19.0.8:443,5,78,172.19.0.20,52782,172.19.0.8,443,5,4,1,911,840,71,182.2,71,425,124.23429478207699,15434.16,0.6818567221848353,210.0,131,425,124.21151315397458,15428.5,0.5914833959713075,71.0,71,71,0.0,0.0,0.0,0.004199504852294922,5.793571472167969e-05,0.01009511947631836,0.003670102912144816,1.3469655385733859e-05,0.004337390263875325,5.793571472167969e-05,0.01009511947631836,0.004228887674957213,1.788349096740502e-05,0.0,0.0,0.0,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,3,2,0,0,0,0.0,0.4,0.0,0.6,0.0,0.7219280948873623,1.9219280948873623,0.016798019409179688
normal_traffic_recording_15.pcap,172.19.0.41:37263->172.19.0.8:443,5,79,172.19.0.41,37263,172.19.0.8,443,5,1,4,4368,424,3944,873.6,68,1292,524.6536381270981,275261.44,0.6005650619586745,424.0,424,424,0.0,0.0,0.0,986.0,68,1292,530.0075471160765,280908.0,0.5375330092455136,0.0020832419395446777,0.0002999305725097656,0.0045320987701416016,0.0018218076464866888,3.318983100797368e-06,0.0,0.0,0.0,0.0,0.0,0.001730044682820638,0.0002999305725097656,0.0045320987701416016,0.0019814937780456465,3.926317592433609e-06,4,1,0.8,0.2,0,0.0,1.0,4,0,0,1,0,0.0,0.0,0.2,0.8,0.0,0.7219280948873623,1.3709505944546687,0.008332967758178711
normal_traffic_recording_15.pcap,172.19.0.33:56985->172.19.0.8:443,5,35,172.19.0.8,443,172.19.0.33,56985,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.009023010730743408,2.3126602172851562e-05,0.03596782684326172,0.015556601528748838,0.0002420078511242707,3.361701965332031e-05,2.3126602172851562e-05,4.410743713378906e-05,1.049041748046875e-05,1.1004885891452432e-10,5.698204040527344e-05,5.698204040527344e-05,5.698204040527344e-05,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,3,2,0,0,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.03609204292297363
normal_traffic_recording_15.pcap,172.19.0.23:40432->172.19.0.8:443,5,40,172.19.0.8,443,172.19.0.23,40432,5,4,1,4429,4287,142,885.8,142,1292,504.7115611911421,254733.75999999995,0.569780493555139,1071.75,411,1292,381.48419036704524,145530.1875,0.35594512747100093,142.0,142,142,0.0,0.0,0.0,0.009793281555175781,5.507469177246094e-05,0.036112070083618164,0.015240280523924515,0.00023226615044791288,0.013057708740234375,5.507469177246094e-05,0.03904604911804199,0.018376533012359503,0.00033769696555433865,0.0,0.0,0.0,0.0,0.0,4,1,0.8,0.2,0,0.0,1.0,4,1,0,0,0,0.0,0.2,0.0,0.8,0.0,0.7219280948873623,1.3709505944546687,0.039173126220703125
