file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,handshake_packets,onertt_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_scan_5.pcap,172.16.0.36:59794->172.19.0.8:443,5,172.16.0.36,59794,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.00384598970413208,8.821487426757812e-06,0.01489114761352539,0.006379396130648853,4.069669499173756e-05,0.00769197940826416,8.821487426757812e-06,0.015375137329101562,0.007683157920837402,5.9030915636526515e-05,0.000453948974609375,0.000453948974609375,0.000453948974609375,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.01538395881652832
traffic_record_scan_5.pcap,172.16.0.49:45545->172.19.0.8:443,5,172.16.0.49,45545,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0033774971961975098,0.0,0.008922100067138672,0.003696345323566133,1.366296875104922e-05,0.0067549943923950195,0.0,0.013509988784790039,0.0067549943923950195,4.562994924128816e-05,4.076957702636719e-05,4.076957702636719e-05,4.076957702636719e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.013509988784790039
traffic_record_scan_5.pcap,172.16.0.30:33197->172.19.0.8:443,5,172.16.0.30,33197,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.00829470157623291,1.3828277587890625e-05,0.01880192756652832,0.008423614518182312,7.095728155093184e-05,0.01658940315246582,1.3828277587890625e-05,0.03316497802734375,0.01657557487487793,0.0002747496824326845,2.6941299438476562e-05,2.6941299438476562e-05,2.6941299438476562e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.03317880630493164
traffic_record_scan_5.pcap,172.16.0.54:36771->172.19.0.8:443,5,172.16.0.54,36771,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.005152761936187744,0.0,0.016746044158935547,0.006874617376018764,4.726036406665912e-05,0.010305523872375488,0.0,0.020611047744750977,0.010305523872375488,0.00010620382228410108,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.020611047744750977
traffic_record_scan_5.pcap,172.16.0.56:48374->172.19.0.8:443,5,172.16.0.56,48374,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.003042757511138916,0.0,0.009224176406860352,0.0037580611831331077,1.4123023856171812e-05,0.006085515022277832,0.0,0.012171030044555664,0.006085515022277832,3.703349308636916e-05,4.1961669921875e-05,4.1961669921875e-05,4.1961669921875e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.012171030044555664
traffic_record_scan_5.pcap,172.16.0.39:36329->172.19.0.8:443,5,172.16.0.39,36329,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.002951979637145996,0.0,0.008527040481567383,0.0034805305828843683,1.21140931383934e-05,0.005903959274291992,0.0,0.011807918548583984,0.005903959274291992,3.485673511249843e-05,2.47955322265625e-05,2.47955322265625e-05,2.47955322265625e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.011807918548583984
traffic_record_scan_5.pcap,172.16.0.35:50932->172.19.0.8:443,5,172.16.0.35,50932,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.003199756145477295,0.0,0.009361982345581055,0.0038186687730864424,1.4582231198545514e-05,0.00639951229095459,0.0,0.01279902458190918,0.00639951229095459,4.095375756207886e-05,2.5987625122070312e-05,2.5987625122070312e-05,2.5987625122070312e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.01279902458190918
traffic_record_scan_5.pcap,172.16.0.43:47218->172.19.0.8:443,5,172.16.0.43,47218,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0032782554626464844,1.3113021850585938e-05,0.008940935134887695,0.0036740247380142085,1.3498457775540373e-05,0.006556510925292969,1.3113021850585938e-05,0.013099908828735352,0.006543397903442383,4.281605612277417e-05,3.0994415283203125e-05,3.0994415283203125e-05,3.0994415283203125e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.013113021850585938
traffic_record_scan_5.pcap,172.16.0.53:54604->172.19.0.8:443,5,172.16.0.53,54604,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0037980079650878906,0.0,0.011428117752075195,0.004655999093231637,2.1678327556173826e-05,0.007596015930175781,0.0,0.015192031860351562,0.007596015930175781,5.769945801148424e-05,4.792213439941406e-05,4.792213439941406e-05,4.792213439941406e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.015192031860351562
traffic_record_scan_5.pcap,172.16.0.33:46251->172.19.0.8:443,5,172.16.0.33,46251,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0035997629165649414,0.0,0.010580062866210938,0.0043178397218901895,1.864373986393275e-05,0.007199525833129883,0.0,0.014399051666259766,0.007199525833129883,5.183317222190453e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.014399051666259766
traffic_record_scan_5.pcap,172.16.0.31:35123->172.19.0.8:443,5,172.16.0.31,35123,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.003031492233276367,0.0,0.008580923080444336,0.0035071500744577213,1.2300101644768802e-05,0.006062984466552734,0.0,0.012125968933105469,0.006062984466552734,3.6759780641659745e-05,3.409385681152344e-05,3.409385681152344e-05,3.409385681152344e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.012125968933105469
traffic_record_scan_5.pcap,172.16.0.37:47927->172.19.0.8:443,5,172.16.0.37,47927,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0029799938201904297,0.0,0.00884699821472168,0.0036056394661377446,1.300063595977008e-05,0.005959987640380859,0.0,0.011919975280761719,0.005959987640380859,3.5521452673492604e-05,3.0994415283203125e-05,3.0994415283203125e-05,3.0994415283203125e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.011919975280761719
traffic_record_scan_5.pcap,172.16.0.34:60886->172.19.0.8:443,5,172.16.0.34,60886,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0037742257118225098,0.0,0.011420011520385742,0.004657448803448118,2.16918293567403e-05,0.0075484514236450195,0.0,0.015096902847290039,0.0075484514236450195,5.697911889512852e-05,2.5987625122070312e-05,2.5987625122070312e-05,2.5987625122070312e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.015096902847290039
traffic_record_scan_5.pcap,172.16.0.36:32899->172.19.0.8:443,5,172.16.0.36,32899,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.004110753536224365,0.0,0.012722969055175781,0.005194239705579047,2.6980126119013903e-05,0.00822150707244873,0.0,0.01644301414489746,0.00822150707244873,6.75931785423245e-05,2.6941299438476562e-05,2.6941299438476562e-05,2.6941299438476562e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.01644301414489746
traffic_record_scan_5.pcap,172.16.0.49:60449->172.19.0.8:443,5,172.16.0.49,60449,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0031527280807495117,0.0,0.009088993072509766,0.0037073456373213336,1.3744411674565526e-05,0.0063054561614990234,0.0,0.012610912322998047,0.0063054561614990234,3.9758777404586e-05,3.981590270996094e-05,3.981590270996094e-05,3.981590270996094e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.012610912322998047
traffic_record_scan_5.pcap,172.16.0.30:49108->172.19.0.8:443,5,172.16.0.30,49108,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.008973777294158936,0.0,0.03213810920715332,0.013459043881745127,0.00018114586221074092,0.01794755458831787,0.0,0.03589510917663574,0.01794755458831787,0.00032211471570064987,3.695487976074219e-05,3.695487976074219e-05,3.695487976074219e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.03589510917663574
traffic_record_scan_5.pcap,172.16.0.54:34717->172.19.0.8:443,5,172.16.0.54,34717,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0127372145652771,0.0,0.04719400405883789,0.019951118578805115,0.0003980471325455426,0.0254744291305542,0.0,0.0509488582611084,0.0254744291305542,0.0006489465395276284,3.1948089599609375e-05,3.1948089599609375e-05,3.1948089599609375e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.0509488582611084
